	5_8S	LSU	RPB1	TEF1	SSU	RPB2	CYTB
Sporobolomyces_carnicolor	166	619.0	695.0	1031.0		1065.0	428.0
Microbotryum_liroi	166	855.0					
Sporobolomyces_blumeae	166			929.0	1772.0	975.0	428.0
Atractiella_rhizophila	166	568.0	698.0	1151.0	1797.0	1107.0	350.0
Hamamotoa_telluris	166	591.0			1119.0		
Leucosporidium_fellii	166	591.0	694.0	1031.0	1791.0	1065.0	431.0
Hyalopycnis_blepharistoma	166	894.0	698.0	1151.0		1107.0	334.0
Bensingtonia_pseudorectispora	166		653.0	955.0	1797.0	972.0	410.0
Microbotryozyma_swertiae	166		698.0	1052.0	1797.0	1107.0	434.0
Sporobolomyces_patagonicus	166	576.0	695.0	828.0	1797.0	1030.0	389.0
Sporobolomyces_beijingensis	166		695.0	1031.0	1624.0	1065.0	428.0
Microbotryozyma_collariae	166	585.0					
Sporobolomyces_ellipsoideus	166		637.0	950.0	1797.0	972.0	392.0
Rhodosporidiobolus_poonsookiae	166	653.0	692.0	1031.0	1626.0	1065.0	428.0
Heterogastridium_pycnidioideum	166	894.0	698.0	1151.0	1797.0	1107.0	350.0
Heitmania_litseae	166	563.0		980.0	1752.0		
Slooffia_tsugae	166	591.0		1031.0	1772.0	1067.0	428.0
Sterigmatospora_layueensis	166		695.0	1151.0	1797.0	1107.0	
Rhodosporidiobolus_ruineniae	166	894.0		1031.0	1772.0	957.0	428.0
Leucosporidium_intermedium	166	591.0	695.0	1031.0		1065.0	434.0
Phenoliferia_glacialis	166	623.0	665.0	792.0	1734.0	997.0	
Ruinenia_fanjingshanensis	166		558.0	1151.0	150.0	570.0	434.0
Colacogloea_hydrangeae	166		665.0	948.0	1797.0		398.0
Sporobolomyces_roseus	166	818.0	665.0	593.0		1020.0	428.0
Sporobolomyces_johnsonii	166	591.0	695.0	593.0			308.0
Colacogloea_terpenoidalis	166	894.0	695.0	1031.0	1626.0	1065.0	433.0
Sporobolomyces_phaffii	166	894.0	665.0	1031.0	1612.0	1007.0	428.0
Microbotryum_silenes-saxifragae	166	584.0					
Fellozyma_inositophila	166	894.0	695.0	819.0	1772.0	713.0	428.0
Slooffia_pilatii	166	591.0	695.0	1031.0	1797.0	1035.0	395.0
Mixia_osmundae	166		689.0	1031.0	1772.0	1050.0	423.0
Oberwinklerozyma_dicranopteridis	166		683.0		1797.0	1020.0	404.0
Microbotryum_alpinum	166						
Rhodosporidiobolus_colostri	166	576.0	695.0	1031.0	1772.0	1008.0	431.0
Novel_sp_JL221	166	894.0	698.0	1151.0	1797.0	1107.0	433.0
Chrysozyma_iridis	166		698.0	1003.0	1797.0	1107.0	434.0
Ruinenia_lunata	166			479.0		975.0	414.0
Rhodotorula_dairenensis	165	572.0		1031.0	1706.0	1065.0	428.0
Novel_sp_JL201	166	894.0	698.0	1151.0	1793.0	1107.0	433.0
Chrysozyma_flava	166		698.0	1052.0	1797.0	1107.0	434.0
Phenoliferia_psychrophila	166	619.0		551.0	1610.0	726.0	428.0
Sampaiozyma_ingeniosa	166	894.0	695.0	1031.0	1626.0	1065.0	395.0
Rhodotorula_mucilaginosa	165		607.0	915.0		1065.0	395.0
Sporidiobolus_metaroseus	166	894.0	695.0	1031.0	1612.0	1065.0	428.0
Slooffia_globosa	166		698.0	1151.0	1797.0	1107.0	422.0
Pseudohyphozyma_pustula	166	894.0	695.0	1031.0	1797.0	1065.0	395.0
Colacogloea_cycloclastica	166	591.0	665.0	992.0	1630.0	1065.0	431.0
Leucosporidium_creatinivorum	166	591.0	695.0	1031.0		1068.0	428.0
Oberwinklerozyma_straminea	166		695.0	1031.0	1626.0	1054.0	405.0
Oberwinklerozyma_nepetae	166		686.0		1797.0	1020.0	401.0
Trigonosporomyces_hylophilus	166	894.0	665.0	1025.0	141.0	1067.0	395.0
Pseudohyphozyma_buffonii	166	894.0	695.0	1031.0		1065.0	395.0
Microbotryomycetes_sp_P2C70	166	587.0	696.0	1151.0	1797.0	1107.0	433.0
Oberwinklerozyma_silvestris	166		695.0	1031.0	1611.0	711.0	428.0
Glaciozyma_litoralis	166	516.0					
Pseudohyphozyma_lulangensis	166		695.0		1797.0	1068.0	341.0
Ustilentyloma_graminis	166	894.0	673.0	1031.0	1779.0	1065.0	395.0
Bannozyma_arctica	166	576.0	643.0	992.0	1612.0	1065.0	431.0
Slooffia_cresolica	166	591.0	695.0	1031.0	1797.0	1020.0	
Sporobolomyces_salmonicolor	166	591.0	665.0	593.0	1772.0	389.0	314.0
Libkindia_masarykiana	166	556.0			1745.0		
Colacogloea_eucalyptica	166	582.0	695.0	1031.0	1797.0	1065.0	431.0
Sporobolomyces_cellobiolyticus	166		662.0	947.0	1797.0	972.0	383.0
Crittendenia_coppinsii	164	336.0					
Rhodotorula_toruloides	165	556.0	698.0	959.0	163.0	1107.0	
Phenoliferia_psychrophenolica	166	623.0	695.0	997.0	1712.0	987.0	398.0
Sporobolomyces_koalae	166	894.0	689.0	1031.0	1628.0	1020.0	431.0
Microbotryomycetes_sp_P6C30	166	894.0	698.0	1151.0	1797.0	1107.0	428.0
[Rhodotorula]_nothofagi	166		695.0	1031.0	1626.0	1005.0	
Vonarxula_javanica	166	591.0	677.0	1001.0	1797.0	1065.0	
Chrysozyma_sambuci	166		659.0	1031.0	1797.0	972.0	
Heitmania_cylindrica	166		653.0	1001.0	1797.0	1035.0	401.0
Hamamotoa_cerberi	166	591.0			1112.0		
Sporidiobolus_pararoseus	166	591.0		593.0			
Chrysozyma_sorbariae	166		695.0	1046.0	1797.0	969.0	365.0
Rhodotorula_paludigena	166	590.0	695.0	1031.0		339.0	
Rosettozyma_petaloides	166		659.0	977.0	1797.0	927.0	392.0
Hamamotoa_lignophila	166	894.0	695.0	490.0	1797.0	699.0	398.0
Pseudohyphozyma_bogoriensis	166	894.0	695.0	825.0		1068.0	424.0
Microbotryum_lychnidis-dioicae	166	894.0	698.0	1151.0	1797.0	1107.0	
Rhodosporidiobolus_oreadorum	166	480.0					
Rhodotorula_glutinis	166	894.0		1031.0	1767.0		
Pycnopulvinus_aurantiacus	164						
Sporobolomyces_bannaensis	166	591.0	695.0	495.0	1753.0	945.0	422.0
Yurkovia_longicylindrica	166		698.0	1151.0	1797.0	1074.0	434.0
